config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.20 frac=1.00,63,1.0,0.7,1.0015164410058026,0.8088588007736944,1.2363097230857525,-0.00016649054987960638,0.0004407299332691534,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,63,1.0,1.0,1.0021663442940039,0.8088588007736944,1.2363097230857525,-0.00023388759872360973,0.000629614190384542,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,64,1.0,0.3,1.012074702886248,0.754102999434069,1.326078799249531,-0.005568896537143147,0.0034788768995260644,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,64,1.0,0.5,1.0201245048104133,0.7695717789096396,1.2994239490133597,-0.008784743546406536,0.005798128165876755,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,64,1.0,0.7,1.0281743067345785,0.7734389737785322,1.292926829268293,-0.011603190009937482,0.008117379432227442,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,64,1.0,1.0,1.0402490096208263,0.7927749481229956,1.261392028554432,-0.015085733681985588,0.011596256331753443,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,65,1.0,0.3,1.0153345867669414,0.7611888951116089,1.3137343521720395,0.002885224241478977,0.004035318117855838,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,65,1.0,0.5,1.0255576446115688,0.7782942635410833,1.2848610697067198,0.00556326329741713,0.006725530196426338,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,65,1.0,0.7,1.0357807024561965,0.7868469477558204,1.2708951885142556,0.008844947335983856,0.0094157422749969,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,65,1.0,1.0,1.051115289223138,0.8381630530442435,1.1930852790133828,0.014899307736262576,0.013451060392852736,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,66,1.0,0.3,1.017824395158872,0.753661432906716,1.3268557422969187,-0.0011362005455611574,0.00461002256870684,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,66,1.0,0.5,1.0297073252647866,0.7793544363012631,1.283113245298119,-0.0009269773208080729,0.007683370947844754,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,66,1.0,0.7,1.0415902553707013,0.8007652724633858,1.248805404514747,5.5598108046582456e-05,0.010756719326982665,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,66,1.0,1.0,1.0594146505295734,0.843586944787631,1.1854142672297345,0.002979496634019199,0.015366741895689559,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,67,1.0,0.3,1.0270047317530344,0.7353494715828133,1.359897625067352,0.0022856556577884714,0.007350373552012887,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,67,1.0,0.5,1.0450078862550576,0.7713176522580595,1.296482709908771,0.0059882951315878424,0.0122506225866882,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,67,1.0,0.7,1.0630110407570805,0.8152787619722495,1.2265743284921213,0.011434029833606018,0.017150871621363462,True,True,False,True,False,False
