seed,variant,selected_alpha,selected_boost,R2,RMSE,DI,EOD,AOD
55,"No correction, same base (R2 label ""w/o HED"")",,,0.7170989458281947,2.096339369964158,0.7008264462809918,0.07409281894576014,0.0648201142627139
56,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1025285557815678,0.6319223101160182,2.3876401045055444,0.9061118791253724,0.008054417407158843,0.04858957875814712
56,"Single fixed candidate, alpha=0.3",0.3,1.0307585667344703,0.6720412092511945,2.2537656524488443,0.8050585097061859,0.02084731669688744,0.009113883449585358
56,"Single fixed candidate, alpha=0.5",0.5,1.051264277890784,0.6629176799698542,2.2848995119618807,0.8454798574738605,0.00928662305526895,0.013967501433507612
56,"Single fixed candidate, alpha=0.7",0.7,1.0717699890470975,0.6519229400255458,2.3218642181097646,0.8656905313576978,0.00928662305526895,0.024348124270877847
56,"Single fixed candidate, alpha=1.0",1.0,1.1025285557815678,0.6319223101160182,2.3876401045055444,0.9061118791253724,0.008054417407158843,0.04858957875814712
56,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.029293873080448,0.6726212874653092,2.2517715925197765,0.8050585097061859,0.02084731669688744,0.009113883449585358
56,"No correction, same base (R2 label ""w/o HED"")",,,0.6822179831801396,2.2185221862069557,0.7309527054654492,0.055529397621742915,0.05413658481166708
57,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1364428425221376,0.6853088642370706,2.2603816072301957,0.944590694915593,0.04268412147119072,0.05943729883083346
57,"Single fixed candidate, alpha=0.3",0.3,1.0409328527566413,0.7265156193659141,2.10720007815581,0.7877398415163248,0.009947457476177646,0.03316636943072951
57,"Single fixed candidate, alpha=0.5",0.5,1.0682214212610688,0.7185124639983805,2.1378099525126206,0.8365378847960971,0.004684299581440898,0.005913578362149008
57,"Single fixed candidate, alpha=0.7",0.7,1.0955099897654963,0.707493146038281,2.1792524016299275,0.8713936299959345,0.021631489892243394,0.0167140133443901
57,"Single fixed candidate, alpha=1.0",1.0,1.1364428425221376,0.6853088642370706,2.2603816072301957,0.944590694915593,0.04268412147119072,0.05943729883083346
57,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0389836692920393,0.7269718589358183,2.10544167910542,0.7842542669963412,0.009947457476177646,0.0350603088246689
57,"No correction, same base (R2 label ""w/o HED"")",,,0.7328650475561533,2.082595222007789,0.6901437549567802,0.07310535221301984,0.09504834710218091
58,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0763315762466763,0.7306493050076294,2.0858962170629987,0.7904453974471535,0.021075810003145623,0.01776829715843556
58,"Single fixed candidate, alpha=0.3",0.3,1.0228994728740028,0.7226600539492885,2.1166052041899635,0.6609373944755859,0.12802768166089962,0.08889129181084196
58,"Single fixed candidate, alpha=0.5",0.5,1.0381657881233382,0.7258753517540577,2.1043001684184754,0.6921979469169988,0.10663730732934884,0.07231375170389011
58,"Single fixed candidate, alpha=0.7",0.7,1.0534321033726735,0.7283445258426323,2.0948015024998994,0.7457874653879922,0.058508965083359565,0.042367227639719
58,"Single fixed candidate, alpha=1.0",1.0,1.0763315762466763,0.7306493050076294,2.0858962170629987,0.7904453974471535,0.021075810003145623,0.01776829715843556
58,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0218090217847646,0.722401839167971,2.1175902977627516,0.6564716012696697,0.13337527524378734,0.09156508860228582
58,"No correction, same base (R2 label ""w/o HED"")",,,0.7164381252742698,2.140215799207694,0.5984162895927602,0.18150361748977661,0.12347239698018242
59,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.127473643108161,0.6980326226140603,2.103820032434137,0.8637514998000267,0.02972237238396791,0.010318339462193751
59,"Single fixed candidate, alpha=0.3",0.3,1.0382420929324483,0.7142357146677791,2.0465980101554906,0.7005542118193766,0.09493976368831569,0.0757958912453307
59,"Single fixed candidate, alpha=0.5",0.5,1.0637368215540806,0.7127504242481258,2.051909822886301,0.7562801150322815,0.07863541586222877,0.04734851438025772
59,"Single fixed candidate, alpha=0.7",0.7,1.0892315501757126,0.7087498022662024,2.06614923604405,0.7960843316129279,0.062331068036141746,0.02628121131592269
