fold,seed,model,Acc,DI,EOD,AOD
1,89,FE-HITL,0.715,1.1815421979356404,0.05714285714285716,0.012011599511599524
1,90,DL,0.695,0.8861566484517305,0.0,0.025106837606837608
1,90,Debiased-HITL,0.695,0.8861566484517305,0.0,0.025106837606837608
1,90,FE-HITL,0.695,0.8861566484517305,0.0,0.025106837606837608
1,91,DL,0.75,1.2269861286254728,0.03999999999999998,0.003974358974358959
1,91,Debiased-HITL,0.75,1.2269861286254728,0.03999999999999998,0.003974358974358959
1,91,FE-HITL,0.75,1.2269861286254728,0.03999999999999998,0.003974358974358959
2,42,DL,0.74,1.6727716727716728,0.11633372502937717,0.1031668625146886
2,42,Debiased-HITL,0.73,1.5054945054945055,0.029377203290246734,0.05968860164512337
2,42,FE-HITL,0.725,1.0873015873015872,0.10105757931844889,0.030528789659224446
2,43,DL,0.755,1.499726327312534,0.1057579318448883,0.08037896592244415
2,43,Debiased-HITL,0.755,1.499726327312534,0.1057579318448883,0.08037896592244415
2,43,FE-HITL,0.75,1.1247947454844007,0.024676850763807323,0.00983842538190366
2,44,DL,0.74,1.2747673782156541,0.11633372502937717,0.050666862514688576
2,44,Debiased-HITL,0.74,1.2747673782156541,0.11633372502937717,0.050666862514688576
2,44,FE-HITL,0.725,1.049808429118774,0.014101057579318454,0.014550528789659234
2,45,DL,0.74,1.4497354497354495,0.13278495887191533,0.08389247943595765
2,45,Debiased-HITL,0.745,1.3772486772486772,0.13278495887191533,0.07139247943595765
2,45,FE-HITL,0.73,0.8698412698412697,0.08460634547591073,0.06230317273795537
2,46,DL,0.745,1.3591269841269842,0.015276145710928335,0.0001380728554641669
2,46,Debiased-HITL,0.745,1.3591269841269842,0.015276145710928335,0.0001380728554641669
2,46,FE-HITL,0.74,1.0873015873015872,0.05875440658049355,0.021877203290246776
2,47,DL,0.725,1.0873015873015872,0.0011750881316098527,0.004412455934195071
2,47,Debiased-HITL,0.725,1.0873015873015872,0.0011750881316098527,0.004412455934195071
2,47,FE-HITL,0.725,1.0873015873015872,0.0011750881316098527,0.004412455934195071
2,48,DL,0.685,0.0,0.02702702702702703,0.03351351351351352
2,48,Debiased-HITL,0.685,4.34920634920635,0.19036427732079905,0.13768213866039952
2,48,FE-HITL,0.68,1.3047619047619048,0.016451233842538188,0.013225616921269095
2,49,DL,0.735,1.7564102564102564,0.11633372502937717,0.11566686251468858
2,49,Debiased-HITL,0.725,1.421855921855922,0.014101057579318454,0.03794947121034078
2,49,FE-HITL,0.725,0.92002442002442,0.14453584018801413,0.06476792009400706
2,50,DL,0.735,1.5657142857142856,0.099882491186839,0.0824412455934195
2,50,Debiased-HITL,0.735,1.5657142857142856,0.099882491186839,0.0824412455934195
2,50,FE-HITL,0.725,1.0438095238095237,0.07403055229142186,0.02951527614571093
2,51,DL,0.76,1.9571428571428573,0.099882491186839,0.1074412455934195
2,51,Debiased-HITL,0.765,1.630952380952381,0.05640423031727376,0.06070211515863688
2,51,FE-HITL,0.765,0.9785714285714286,0.07403055229142186,0.04201527614571093
2,52,DL,0.76,1.6073153899240855,0.07285546415981198,0.07142773207990599
2,52,Debiased-HITL,0.76,1.6073153899240855,0.07285546415981198,0.07142773207990599
2,52,FE-HITL,0.755,1.3236714975845412,0.014101057579318454,0.015449471210340772
2,53,DL,0.76,1.6727716727716728,0.13278495887191533,0.10389247943595765
2,53,Debiased-HITL,0.76,1.6727716727716728,0.13278495887191533,0.10389247943595765
2,53,FE-HITL,0.755,1.0873015873015872,0.04112808460634548,0.02056404230317274
2,54,DL,0.775,1.499726327312534,0.051703877790834296,0.06335193889541714
2,54,Debiased-HITL,0.775,1.499726327312534,0.051703877790834296,0.06335193889541714
2,54,FE-HITL,0.78,1.1247947454844007,0.03525264394829608,0.01762632197414804
2,55,DL,0.73,1.3979591836734693,0.07285546415981198,0.05892773207990598
2,55,Debiased-HITL,0.735,1.3202947845804989,0.07285546415981198,0.046427732079905984
2,55,FE-HITL,0.72,1.0873015873015872,0.0575793184488837,0.018789659224441854
2,56,DL,0.74,2.509157509157509,0.21856639247943593,0.14678319623971797
2,56,Debiased-HITL,0.715,1.0036630036630036,0.08578143360752058,0.030390716803760293
2,56,FE-HITL,0.715,1.0036630036630036,0.08578143360752058,0.030390716803760293
2,57,DL,0.735,1.2545787545787546,0.014101057579318454,0.01294947121034077
2,57,Debiased-HITL,0.735,1.2545787545787546,0.014101057579318454,0.01294947121034077
