Exp,ratio,seed,model,R2,RMSE,DI,EOD,AOD
IntervSens,0.5,55,DL,0.7132746373923626,2.1104611553621053,0.6552088044625358,0.11786669213139811,0.09320753961408615
IntervSens,0.5,55,FE-HITL,0.7074184777087484,2.1319045443110825,0.7605559729526671,0.051365546218487435,0.03262314456574421
IntervSens,0.5,56,DL,0.7315064629366768,2.039229174637424,0.6644244644244643,0.08504222558379504,0.06592067294771946
IntervSens,0.5,56,FE-HITL,0.6562423063805898,2.3074129789037694,0.8454798574738605,0.01506696987607814,0.01280743182933139
IntervSens,0.5,57,DL,0.7496941724633397,2.0159278759848123,0.6451101321585903,0.09866417312316322,0.11047094770044275
IntervSens,0.5,57,FE-HITL,0.7116366525667965,2.1637622470056947,0.8191100121961785,0.03100008905512508,0.0190714730989911
IntervSens,0.5,58,DL,0.7533642163418953,1.9960052989620036,0.697144903027256,0.0784837999370871,0.08268552741952395
IntervSens,0.5,58,FE-HITL,0.7226923344963181,2.116482021137763,0.7011295333288311,0.09594212016357351,0.06696615812100244
IntervSens,0.5,59,DL,0.7109070548382239,2.0584831640832215,0.65788928053079,0.14008803768630784,0.10413475394137627
IntervSens,0.5,59,FE-HITL,0.7069666969439081,2.072464321986526,0.7244367417677644,0.12211367673179396,0.06908764481504032
IntervSens,0.5,60,DL,0.7324005575522534,2.008655618391621,0.7057730650715969,0.038954982589952,0.047827121109727186
IntervSens,0.5,60,FE-HITL,0.7205980603529529,2.0524736491659232,0.7671043229724902,0.02561764218205942,0.01957993102199093
IntervSens,0.5,61,DL,0.7217364048155819,2.0276581757833383,0.7342016599556249,0.12907191753875213,0.06951603845065096
IntervSens,0.5,61,FE-HITL,0.7182610676567993,2.040280972566078,0.7810842075870598,0.08200881265245097,0.045984486007500394
IntervSens,0.5,62,DL,0.7448087402191026,1.986338418909546,0.5925913277096638,0.11893178212585931,0.10358682813346563
IntervSens,0.5,62,FE-HITL,0.7212096677324421,2.0761522550909306,0.6780848626648144,0.05542041248016927,0.04136516485173729
IntervSens,0.5,63,DL,0.7421965795006824,2.043043409306394,0.7266517357222845,0.08297872340425527,0.046812756024844304
IntervSens,0.5,63,FE-HITL,0.7017523041107339,2.1974641840935636,0.7793551074242477,0.06987732413264325,0.031316946834034895
IntervSens,0.5,64,DL,0.7357144081101157,2.0022861824528757,0.5808302698825429,0.1518163966617575,0.10305505754514924
IntervSens,0.5,64,FE-HITL,0.6760648958446104,2.21675866016123,0.6754385964912281,0.06154884634266078,0.01878921718019797
IntervSens,0.5,65,DL,0.7576145512391226,1.9953507097485124,0.6334376070151947,0.08358227532984808,0.0616137540729063
IntervSens,0.5,65,FE-HITL,0.7442491346258407,2.0496255383314126,0.7558943763120097,0.019790888722927558,0.004339588897959726
IntervSens,0.5,66,DL,0.7209403173827079,2.051727746916431,0.6241258741258742,0.11587888894679244,0.07819814869146999
IntervSens,0.5,66,FE-HITL,0.6833241854918077,2.1856400084684324,0.7451102743410436,0.020761894835582884,0.018923677215608115
IntervSens,0.5,67,DL,0.7438668901716516,1.9794745721821252,0.5989393413968607,0.13468636359514297,0.1122354061901557
IntervSens,0.5,67,FE-HITL,0.7036591427189689,2.1291822278941916,0.7681352823629246,0.0539217019887368,0.01854784252995663
IntervSens,0.5,68,DL,0.7355035110812693,2.0672931877684877,0.689922480620155,0.060477849676455975,0.0563894223506658
IntervSens,0.5,68,FE-HITL,0.7318406625081397,2.0815583038798664,0.7412382052763334,0.04616724738675948,0.024498424688404616
IntervSens,0.5,69,DL,0.726131153849223,2.0715730346508736,0.6825601831637576,0.11052145823719428,0.07256045837484813
IntervSens,0.5,69,FE-HITL,0.6973734598632848,2.1776217196814622,0.7864058229644566,0.06832602676511312,0.021979544677348722
IntervSens,0.5,70,DL,0.7344579940009398,2.0471883871527616,0.6351640065351263,0.1479624643330788,0.11371370126703825
IntervSens,0.5,70,FE-HITL,0.7109683191553505,2.135816403682284,0.6747154645627789,0.12585902021460427,0.06494711249665173
IntervSens,0.5,71,DL,0.7495309768988754,2.0204631199319083,0.5838157894736842,0.1855453489599831,0.12093308977574355
IntervSens,0.5,71,FE-HITL,0.728872299420612,2.1021362529916474,0.708254449072321,0.11259634674268826,0.03765373380126297
IntervSens,1.0,42,DL,0.7339830962137703,1.9810958768142408,0.686039886039886,0.1158949745906267,0.08429522891746002
IntervSens,1.0,42,FE-HITL,0.7074845905950169,2.0774245114150385,0.8652065527065528,0.010173832378801317,0.010525735719155258
IntervSens,1.0,43,DL,0.7336097445550944,2.0584390266288013,0.6502102009866968,0.1046712802768166,0.08421579393998548
IntervSens,1.0,43,FE-HITL,0.7214118420879735,2.1050390945608974,0.8578182625390902,0.04157890777794504,0.034399797123347634
IntervSens,1.0,44,DL,0.7282787193822127,2.041768665182814,0.623478566648139,0.18821343002122637,0.13232147564891106
IntervSens,1.0,44,FE-HITL,0.7041855284801821,2.1303669513578454,0.8481810068770014,0.038007087611256374,0.001466974656692016
IntervSens,1.0,45,DL,0.7503979484569517,1.9692293598738808,0.6521551724137932,0.1087224114733919,0.07709761356627148
IntervSens,1.0,45,FE-HITL,0.7090370524364508,2.1261361450540006,0.8199356913183279,0.003072548402179409,0.01325224990420458
