fold,model,Acc,DI,EOD
3,FE-HITL,0.76,1.0231481481481481,0.04999999999999999
3,DL,0.73,1.201086956521739,0.0
3,Debiased-HITL,0.73,1.201086956521739,0.0
3,FE-HITL,0.73,1.201086956521739,0.0
3,DL,0.755,1.02,0.0
3,Debiased-HITL,0.755,1.02,0.0
3,FE-HITL,0.755,1.02,0.0
3,DL,0.745,1.1590909090909092,0.0
3,Debiased-HITL,0.745,1.1590909090909092,0.0
3,FE-HITL,0.745,1.1590909090909092,0.0
3,DL,0.765,0.99609375,0.0
3,Debiased-HITL,0.765,0.99609375,0.0
3,FE-HITL,0.765,0.99609375,0.0
3,DL,0.75,1.1653225806451613,0.10000000000000003
3,Debiased-HITL,0.75,1.1653225806451613,0.10000000000000003
3,FE-HITL,0.75,1.1653225806451613,0.10000000000000003
3,DL,0.735,0.8793103448275862,0.15000000000000002
3,Debiased-HITL,0.735,0.8793103448275862,0.15000000000000002
3,FE-HITL,0.735,0.8793103448275862,0.15000000000000002
3,DL,0.765,1.2592592592592593,0.024999999999999967
3,Debiased-HITL,0.77,1.1805555555555556,0.024999999999999967
3,FE-HITL,0.77,1.0231481481481481,0.07499999999999996
3,DL,0.75,1.1442307692307694,0.024999999999999967
3,Debiased-HITL,0.75,1.1442307692307694,0.024999999999999967
3,FE-HITL,0.75,1.1442307692307694,0.024999999999999967
3,DL,0.705,0.0,0.05
3,Debiased-HITL,0.705,0.0,0.05
3,FE-HITL,0.705,0.0,0.05
4,DL,0.725,2.921875,0.20512820512820512
4,Debiased-HITL,0.71,0.0,0.1282051282051282
4,FE-HITL,0.715,0.796875,0.03296703296703296
4,DL,0.75,1.5454545454545454,0.04395604395604391
4,Debiased-HITL,0.75,0.9659090909090908,0.09890109890109894
4,FE-HITL,0.755,1.0625,0.05128205128205132
4,DL,0.805,1.4419642857142858,0.08058608058608063
4,Debiased-HITL,0.81,1.3660714285714286,0.08058608058608063
4,FE-HITL,0.805,1.1383928571428572,0.0146520146520146
4,DL,0.77,1.7980769230769231,0.025641025641025605
4,Debiased-HITL,0.755,0.0,0.3076923076923077
4,FE-HITL,0.76,1.1442307692307694,0.11721611721611724
